"TIME","RBD","UNIT","WW_TPAR","WW_TP","Value","Flag and Footnotes"
"2000","Moselle-Saar (DE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Moselle-Saar (DE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Moselle-Saar (DE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Middle Rhine","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Middle Rhine","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Middle Rhine","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Lower Rhine","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Lower Rhine","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Lower Rhine","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Rhine delta","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Rhine delta","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Rhine delta","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Ems - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Ems - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Ems - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Weser - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Weser - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Weser - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Werra","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Werra","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Werra","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Fulda-Diemel","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Fulda-Diemel","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Fulda-Diemel","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Weser","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Weser","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Weser","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Aller","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Aller","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Aller","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Leine","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Leine","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Leine","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Tide-Weser","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Tide-Weser","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Tide-Weser","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Elbe / Labe - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Elbe / Labe - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Elbe / Labe - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Mulde-Elbe-Schwarze Elster","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Mulde-Elbe-Schwarze Elster","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Mulde-Elbe-Schwarze Elster","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Saale, Obere Moldau, Berounka, Eger and lower Elbe","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Mittelelbe-Elde","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Mittelelbe-Elde","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Mittelelbe-Elde","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Havel","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Havel","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Havel","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Tide-Elbe","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Tide-Elbe","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Tide-Elbe","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Oder / Odra - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Oder / Odra - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Oder / Odra - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Maas / Meuse - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Maas / Meuse - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Maas / Meuse - RBD (DE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Eider - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Eider - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Eider - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Schlei-Trave - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Schlei-Trave - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Schlei-Trave - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Warnow-Peene - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Warnow-Peene - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Warnow-Peene - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Estonia","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Estonia","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Estonia","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","West Estonia - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","West Estonia - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","West Estonia - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Läänesaarte","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Läänesaarte","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Läänesaarte","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Matsalu","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Matsalu","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Matsalu","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Pärnu","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Pärnu","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Pärnu","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Harju","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Harju","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Harju","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","East Estonia - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","East Estonia - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","East Estonia - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Viru","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Viru","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Viru","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Vörtsjärve","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Vörtsjärve","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Vörtsjärve","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Peipsi","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Peipsi","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Peipsi","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Koiva /Gauja - RBD (EE)","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Koiva /Gauja - RBD (EE)","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Koiva /Gauja - RBD (EE)","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Eastern Ireland - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Eastern Ireland - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Eastern Ireland - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","Shannon - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
"2000","Shannon - RBD","Number","Number of plants","Urban and other wastewater treatment plants - secondary treatment",":",""
"2000","Shannon - RBD","Number","Number of plants","Urban and other wastewater treatment plants - tertiary treatment",":",""
"2000","South Eastern Ireland - RBD","Number","Number of plants","Urban and other wastewater treatment plants - primary treatment",":",""
