TIME,GEO,WW_TPAR,WW_TP,UNIT,Value,Flag and Footnotes
2000,Berlin,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Berlin,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Berlin,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Brandenburg,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Brandenburg,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Brandenburg,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Bremen,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Bremen,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Bremen,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Hamburg,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Hamburg,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Hamburg,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Darmstadt,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Darmstadt,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Darmstadt,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Gie�en,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Gie�en,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Gie�en,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Kassel,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Kassel,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Kassel,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Mecklenburg-Vorpommern,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Mecklenburg-Vorpommern,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Mecklenburg-Vorpommern,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Braunschweig,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Braunschweig,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Braunschweig,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Hannover,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Hannover,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Hannover,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,L�neburg,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,L�neburg,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,L�neburg,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Weser-Ems,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Weser-Ems,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Weser-Ems,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,D�sseldorf,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,D�sseldorf,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,D�sseldorf,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,K�ln,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,K�ln,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,K�ln,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,M�nster,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,M�nster,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,M�nster,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Detmold,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Detmold,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Detmold,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Arnsberg,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Arnsberg,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Arnsberg,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Koblenz,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Koblenz,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Koblenz,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Trier,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Trier,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Trier,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
2000,Rheinhessen-Pfalz,Number of plants,Urban and other wastewater treatment plants - primary treatment,Number,:,
2000,Rheinhessen-Pfalz,Number of plants,Urban and other wastewater treatment plants - secondary treatment,Number,:,
2000,Rheinhessen-Pfalz,Number of plants,Urban and other wastewater treatment plants - tertiary treatment,Number,:,
