"TIME","GEO","WW_TPAR","WW_TP","UNIT","Value","Flag and Footnotes"
"2009","Trabzon, Ordu, Giresun, Rize, Artvin, Gümüshane","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","6",""
"2009","Erzurum, Erzincan, Bayburt","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2009","Agri, Kars, Igdir, Ardahan","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","2",""
"2009","Malatya, Elazig, Bingöl, Tunceli","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2009","Van, Mus, Bitlis, Hakkari","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2009","Gaziantep, Adiyaman, Kilis","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2009","Sanliurfa, Diyarbakir","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","2",""
"2009","Mardin, Batman, Sirnak, Siirt","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2010","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2010","Prov. Brabant Wallon","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Prov. Hainaut","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Prov. Liège","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Prov. Luxembourg (BE)","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Prov. Namur","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number",":",""
"2010","Bulgaria","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","13",""
"2010","Severozapaden","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","1",""
"2010","Severen tsentralen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","3",""
"2010","Severoiztochen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","5",""
"2010","Yugoiztochen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2010","Yugozapaden","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","4",""
"2010","Yuzhen tsentralen","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2010","Czech Republic","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","49",""
"2010","Praha","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","0",""
"2010","Strední Cechy","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","2",""
"2010","Jihozápad","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","10",""
"2010","Severozápad","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","18",""
"2010","Severovıchod","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","5",""
"2010","Jihovıchod","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","3",""
"2010","Strední Morava","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","1",""
"2010","Moravskoslezsko","Number of plants","Urban and other wastewater treatment plants - primary treatment","Number","10",""
