"TIME","RBD","WAT_SRC","WAT_PROC","UNIT","Value","Flag and Footnotes"
"2011","Mayenne-Sarthe-Loir","Fresh surface water","Total gross abstraction","Million cubic metres","91.077",""
"2011","Vilaine and Brittany coastal streams","Fresh surface water","Total gross abstraction","Million cubic metres","204.171",""
"2011","Vienne-Creuse","Fresh surface water","Total gross abstraction","Million cubic metres","181.046",""
"2011","Seine and the Normandy coastal streams - RBD (FR)","Fresh surface water","Total gross abstraction","Million cubic metres","1,625.026",""
"2011","Coastal streams of Normandy","Fresh surface water","Total gross abstraction","Million cubic metres","33.768",""
"2011","Marne","Fresh surface water","Total gross abstraction","Million cubic metres","206.628",""
"2011","Oise","Fresh surface water","Total gross abstraction","Million cubic metres","97.003",""
"2011","Seine upstream Paris (FR)","Fresh surface water","Total gross abstraction","Million cubic metres","871.018",""
"2011","Seine downstream Paris (FR)","Fresh surface water","Total gross abstraction","Million cubic metres","416.609",""
"2011","Croatia","Fresh surface water","Total gross abstraction","Million cubic metres","201.51",""
"2011","Danube - RBD (HR)","Fresh surface water","Total gross abstraction","Million cubic metres","136.75",""
"2011","Adriatic - RBD (HR)","Fresh surface water","Total gross abstraction","Million cubic metres","64.76",""
"2011","Italy","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Eastern Alps - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Po - RBD (IT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Northern Apennines - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Serchio - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Middle Apennines - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Southern Apennines - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Sardinia - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Sicily - RBD","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Cyprus","Fresh surface water","Total gross abstraction","Million cubic metres","65.8",""
"2011","Cyprus - RBD","Fresh surface water","Total gross abstraction","Million cubic metres","65.8",""
"2011","Latvia","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Daugava - RBD (LV)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Gauja (Koiva) - RBD (LV)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Lielupe - RBD (LV)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Venta - RBD (LV)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Lithuania","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Nemunas - RBD (LT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Venta - RBD (LT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Lielupe - RBD (LT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Daugava - RBD (LT)","Fresh surface water","Total gross abstraction","Million cubic metres",":",""
"2011","Luxembourg","Fresh surface water","Total gross abstraction","Million cubic metres","23.92",""
"2011","Meuse / Maas - RBD (LU)","Fresh surface water","Total gross abstraction","Million cubic metres","0",""
"2011","Rhine - RBD (LU)","Fresh surface water","Total gross abstraction","Million cubic metres","23.92",""
"2011","Hungary","Fresh surface water","Total gross abstraction","Million cubic metres","4,689.9",""
