"TIME","RBD","WAT_PROC","NACE_R2","UNIT","Value","Flag and Footnotes"
"2000","Ems - RBD (DE)","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Ems - RBD (DE)","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Ems - RBD (DE)","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Ems - RBD (DE)","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Ems - RBD (DE)","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Upper Ems, Ems-Nordradde, Hase","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Leda-Jümme, lower Ems, Ems-estuary","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Weser - RBD","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Weser - RBD","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Weser - RBD","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Weser - RBD","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Weser - RBD","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Werra","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Werra","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Werra","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Werra","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Werra","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Fulda-Diemel","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Fulda-Diemel","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Fulda-Diemel","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Fulda-Diemel","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Fulda-Diemel","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Weser","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Weser","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Weser","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Weser","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Weser","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Aller","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
"2000","Aller","Public water supply and self and other supply","Industry and construction","Million cubic metres",":",""
"2000","Aller","Public water supply and self and other supply","Services","Million cubic metres",":",""
"2000","Aller","Public water supply and self and other supply","Households","Million cubic metres",":",""
"2000","Aller","Public water supply and self and other supply","All NACE activities plus households","Million cubic metres",":",""
"2000","Leine","Public water supply and self and other supply","Agriculture, forestry and fishing","Million cubic metres",":",""
