"TIME","RBD","UNIT","WAT_PROC","Value","Flag and Footnotes"
"2000","Cyprus - RBD","Million cubic metres","Precipitation","3,152",""
"2000","Latvia","Million cubic metres","Precipitation","42,634",""
"2000","Daugava - RBD (LV)","Million cubic metres","Precipitation",":",""
"2000","Gauja (Koiva) - RBD (LV)","Million cubic metres","Precipitation",":",""
"2000","Lielupe - RBD (LV)","Million cubic metres","Precipitation",":",""
"2000","Venta - RBD (LV)","Million cubic metres","Precipitation",":",""
"2000","Lithuania","Million cubic metres","Precipitation","39,968",""
"2000","Nemunas - RBD (LT)","Million cubic metres","Precipitation","30,425.7",""
"2000","Venta - RBD (LT)","Million cubic metres","Precipitation","3,304.95",""
"2000","Lielupe - RBD (LT)","Million cubic metres","Precipitation","5,258.7",""
"2000","Daugava - RBD (LT)","Million cubic metres","Precipitation","978.65",""
"2000","Luxembourg","Million cubic metres","Precipitation",":",""
"2000","Meuse / Maas - RBD (LU)","Million cubic metres","Precipitation",":",""
"2000","Rhine - RBD (LU)","Million cubic metres","Precipitation",":",""
"2000","Hungary","Million cubic metres","Precipitation","40,548",""
"2000","Danube - RBD (HU)","Million cubic metres","Precipitation","40,548",""
"2000","Balaton","Million cubic metres","Precipitation",":",""
"2000","Dráva / Drau (HU)","Million cubic metres","Precipitation",":",""
"2000","Danube (HU)","Million cubic metres","Precipitation",":",""
"2000","Tisza / Tysa (HU)","Million cubic metres","Precipitation",":",""
"2000","Malta","Million cubic metres","Precipitation","142.74",""
"2000","Malta - RBD","Million cubic metres","Precipitation","142.74",""
"2000","Netherlands","Million cubic metres","Precipitation","33,510",""
"2000","Ems - RBD (NL)","Million cubic metres","Precipitation",":",""
"2000","Maas / Meuse - RBD (NL)","Million cubic metres","Precipitation",":",""
"2000","Rhine - RBD (NL)","Million cubic metres","Precipitation",":",""
"2000","Schelde / Escaut - RBD (NL)","Million cubic metres","Precipitation",":",""
"2000","Austria","Million cubic metres","Precipitation",":",""
"2000","Danube - RBD (AT)","Million cubic metres","Precipitation",":",""
"2000","Danube upstream Jochenstein (AT)","Million cubic metres","Precipitation",":",""
"2000","Danube downstream Jochenstein (AT)","Million cubic metres","Precipitation",":",""
"2000","March / Morava (AT)","Million cubic metres","Precipitation",":",""
"2000","Leitha, Raab, Rabnitz","Million cubic metres","Precipitation",":",""
"2000","Mur","Million cubic metres","Precipitation",":",""
"2000","Drau / Dráva (AT)","Million cubic metres","Precipitation",":",""
"2000","Rhine - RBD (AT)","Million cubic metres","Precipitation",":",""
"2000","Elbe / Labe - RBD (AT)","Million cubic metres","Precipitation",":",""
"2000","Poland","Million cubic metres","Precipitation",":",""
"2000","Danube - RBD (PL)","Million cubic metres","Precipitation",":",""
"2000","Vistula / Wisla - RBD (PL)","Million cubic metres","Precipitation",":",""
"2000","Little Vistula","Million cubic metres","Precipitation",":",""
"2000","Upper Vistula","Million cubic metres","Precipitation",":",""
"2000","Middle Vistula without Bug and Narew","Million cubic metres","Precipitation",":",""
"2000","Bug and Narew","Million cubic metres","Precipitation",":",""
"2000","Lower Vistula","Million cubic metres","Precipitation",":",""
"2000","Swieza - RBD","Million cubic metres","Precipitation",":",""
"2000","Jarft - RBD","Million cubic metres","Precipitation",":",""
"2000","Labe / Elbe - RBD (PL)","Million cubic metres","Precipitation",":",""
"2000","Odra / Oder - RBD (PL)","Million cubic metres","Precipitation",":",""
"2000","Upper Oder","Million cubic metres","Precipitation",":",""
"2000","Middle Oder","Million cubic metres","Precipitation",":",""
"2000","Warta","Million cubic metres","Precipitation",":",""
"2000","Lower Oder and Western Coast","Million cubic metres","Precipitation",":",""
"2000","Ucker - RBD","Million cubic metres","Precipitation",":",""
"2000","Pregolya / Prieglius - RBD (PL)","Million cubic metres","Precipitation",":",""
"2000","Nemunas - RBD (PL)","Million cubic metres","Precipitation",":",""
"2000","Dniester - RBD (PL)","Million cubic metres","Precipitation",":",""
"2000","Portugal","Million cubic metres","Precipitation","71,207",""
"2000","Romania","Million cubic metres","Precipitation","102,000",""
"2000","Danube - RBD (RO)","Million cubic metres","Precipitation","102,000",""
"2000","Banat","Million cubic metres","Precipitation",":",""
"2000","Siret","Million cubic metres","Precipitation",":",""
"2000","Prut-Barlad","Million cubic metres","Precipitation",":",""
"2000","Jiu","Million cubic metres","Precipitation",":",""
"2000","Olt","Million cubic metres","Precipitation",":",""
"2000","Arges-Vedea","Million cubic metres","Precipitation",":",""
"2000","Ialomita-Buzau","Million cubic metres","Precipitation",":",""
"2000","Dobrogea","Million cubic metres","Precipitation",":",""
"2000","Mures","Million cubic metres","Precipitation",":",""
"2000","Crisuri","Million cubic metres","Precipitation",":",""
"2000","Somes-Tisa (RO)","Million cubic metres","Precipitation",":",""
"2000","Slovenia","Million cubic metres","Precipitation",":",""
"2000","Danube - RBD (SI)","Million cubic metres","Precipitation",":",""
